詞語（必填）,分類標籤（可留空）,細分類（可留空）
餃子 情景 吸引   趕緊 隊伍 發現  口袋 難看  學問 熱騰騰 爺爺 津津有味 滿足 笑容 幫忙 小心翼翼 隊伍 竟然,二下單元二,歡歡喜喜包餃子
放假 祖母 粽子 首先 示範   然後 接着 最後 完成 講述 節日 食品 香噴噴 熱呼呼  美味  綠豆  ,二下單元二,美味的粽子
放假 起牀 高跟鞋 眼鏡 項鏈  胡鬧 不算 辦法 掃帚 客廳 灰塵 驚喜 全部 ,三上單元一,慧娟怎樣長大
 診所 醫生  驚慌 好奇 温柔 安慰 仍然 驅除  恐慌  注射 耐心 稱讚 勇敢 並且 保護 輕鬆 ,三上單元一,拔牙
 鮮豔 愛惜 捨不得  比賽  建議 表達 盛開 求助 不好意思 胡亂 七嘴八舌 肯定 冠軍 不安 行為 自私 於是 重新    ,三上單元一,一束鮮艷的花
 電視劇 精彩 温習  改期  唸唸有詞  記憶  內容 因為 請假 代課 宣佈 立即 瘦弱 一聲不響 通紅 相信,三上單元一,上默書課
清澈 兩側 波紋 麪包 展翅欲飛 雄鷹 賽跑 變幻  消失  皺紋 不滿  企盼 目光  跨步,三上單元一,清澈的湖水
穩穩當當 柱子 議論 重量 一本正經  微笑 果然 佩服 讚歎 年紀 聰明 了不起,三上單元二,曹沖稱象
人山人海 東張西望 五彩繽紛 眼花繚亂 目不暇給 僻靜  反而 竟然 提防 拐賣  擁擠 雖然 帽子 士兵 拐騙 ,三上單元二,王戎智捉人販子
奪門而逃 怒視 抗議 痛苦 習慣 吃盡苦頭  耿耿於懷  折磨 央求 答應 願意 隨便 處置  發誓  熟練 優秀 顧客  倒霉 ,三上單元二,剃頭大師
頓時 受傷  憤怒 哇哇大哭  修理 糖果 煙消雲散  心平氣和 解決 問題 ,三上單元二,遙控車壞了
提早 姿勢 捶胸頓足  嘮叨 從此 不許 不但 時機  靈巧  迅速 左穿右插 周圍 出色  爭光 支持,三上單元二,我的球迷哥哥
名字 家族 兇猛 同類 或者 漆黑 本領  厲害 因素  瞳孔 強弱 縮小 靈敏 探路 獵物 因此 捕捉 戰無不勝 難怪,三下單元一,我的名字叫做貓
造型 茂盛 彷彿 氣息 圖案 主幹 別緻 設計 猶如 獨特 開關 提醒 代表 選擇 方便 實用 樹幹 ,三下單元一,綠樹枱燈
故鄉  貪婪  甘露 狹長 楊梅 桂圓 舌尖 細膩 柔軟  雖然 幾乎 豆腐 熟透,三下單元一,我愛故鄉的楊梅
演奏 季節 呢喃細語 激動 充滿 威力 熱鬧 滙聚 洶湧澎湃 輕快 波瀾壯闊  打擊  樂曲,三下單元一,大自然的聲音
鑰匙  留意 顏料 炎熱 郵票 涼爽 你擠我碰 頻頻點頭 香甜 糧食 準備 豐收 歡樂 温柔,三下單元一,秋天的雨
 燦爛  參觀 大橋 目的地 模型 過程 觀察 外形 橫臥 鐵路 夕陽 氣勢宏偉 自豪  名滿天下 親手  ,三下單元二,參觀青馬大橋
古色古香  商店 遙遙相對 聞名 遊樂設施  風土人情 悠揚 載歌載舞 效果   意想不到  依依不捨  世界 藝術,三下單元二,遊迪士尼樂園
集中 爭相開放 層層疊疊  香氣撲鼻 購買 小心翼翼 芳香 四面八方 感覺 延伸 ,三下單元二,花之路
聞名中外 陡峭 秀麗 神奇 尤其 一動不動 翻滾 金光閃閃 著名 奇形怪狀  啼叫 ,三下單元二,黃山奇石
風景優美 物產豐富 五光十色 瑰麗無比 高低不平 綻開 懶洋洋  威武  成群結隊 數不清 茂密 棲息 寶貴 祖祖輩輩 發展  肥料 堆積 建設,三下單元二,富饒的西沙羣島
 形影不離 發生 功課 精緻  故意 絕不罷休 體無完膚  四分五裂 氣惱 委屈 眼淚 友誼 破裂  驚訝 紀念 歉意 哽咽 珍藏 抽屜 ,四上單元一,小木船
離開 殘疾  輪流 角落  猶豫 慢吞吞 注視   熱烈 持久 平息  情緒 講述 普通 永遠 忘記 歧視  鼓勵 ,四上單元一,掌聲
禮物 羨慕 顯然 寬裕 驚歎 希望  不由自主 敏捷 期待 分明  麻煩 將來 濕潤 喜悅 給予,四上單元一,保羅的自行車
夢想  退休   愛戴 傳統 抽獎 探親  邀請 出席  嘉賓 歡呼聲 震耳欲聾 擁抱  不約而同  放棄 機會 無私 善良 體現,四上單元一,愛的紙條
旁邊 乘涼 變化  跪着   模糊 忽然 似乎 鎮靜 恍恍惚惚 其實 必須 沉靜 偏偏 等待 愛好 ,四上單元二,火燒雲
嫩綠 融化 散步 擋住 視線 遮住  照射 宿舍 酸甜可口 收藏 來臨 誘人 寶庫,四上單元二,美麗的小興安嶺
引人注目 遍佈  姿態萬千 絢麗異常 五彩斑斕 沉醉  空隙 流淌 耀眼 光芒 悠閒自在 爭奇鬥豔  竭力  散發 毫不示弱   回憶,四上單元二,美麗的香山
構成 時令 順序  樸素 照例 率領 覓食 倘若 附近 情景 和諧 催眠曲 辛苦 夢鄉 不論  季節 迷人,四上單元二,鄉下人家
歷史 創造 線條 粗略 形狀 表示 至於  意義  簡單 符號 組合 根本 顧名思義 領會 合併  產生 不僅  ,四下單元一,奇妙的漢字
發明 貢獻 記錄 笨重 閱讀  保存  輕便 普及 製作 粗糙 書寫 積累 經驗   價格 滿足 需要 傳承 促進 影響 便宜,四下單元一,紙的發明
 瞭解  捕捉 無論 靈巧 避開 難道 敏銳 實驗 橫七豎八 證明 配合 經過 反復 研究 揭開 傳播 障礙物  原理 類似 顯示,四下單元一,夜間飛行的祕密
也許 速度 奔跑  冠軍 陸地 俯衝  移動 擺脫 浩瀚 達到 即使 繼續 呼嘯而過 靜止 物體 難以置信 任何,四下單元一,什麼比獵豹的速度更快
 率領 緝拿歸案 英勇善戰 應付 綽綽有餘 精疲力盡 把戲 避開 罷休 光禿禿 孤零零 可疑 大吃一驚 無影無蹤,四下單元二,孫悟空，變變變！
攻打 出師不利 乘勝追擊  吩咐 掩護 抵禦 驚惶失措 氣定神閒 發號施令 妥當 悠揚 埋伏 謹慎 判斷 懊悔 仰天長歎 ,四下單元二,諸葛亮巧佈空城計
及時 治療 以免 不以為然 不痛不癢  惡化 無奈 原因 渾身   痛苦  疾病 缺點 採取 措施 否則 情況 病入膏肓 無藥可救,四下單元二,扁鵲治病（白話文）
技術 巧妙 超過 織布 緊盯 報告 稱讚 明顯 目不轉睛 裝飾 ,四下單元二,紀昌學射
舉辦 笨拙 四腳朝天 戰戰兢兢  跌倒 膽怯 頻繁 失誤 氣喘吁吁 東歪西倒 不禁 張皇失措 無動於衷 無可奈何 克服 恍然大悟  否則 啟示 獲益良多   ,五上單元一,溜冰場上
毛病 懶惰 害羞 恐懼 勇氣 催促 哀求 命令 躲避 傷痕 遮蓋 原諒 綠故 禮貌 示意 徵求 同意 微笑 答應,五上單元一,爸爸的花兒落了（節選）
維持 拮据 誠實 精湛 器重 夢寐以求 嶄新 饋贈 嚴肅 悶悶不樂  道德 迷惑不解 號碼  辨別 痕跡  教誨  ,五上單元一,中彩那天
附近 劇烈 抖動 操縱 掙扎 筋疲力盡  距離 急切 爭辯 乞求 沮喪   誘惑 抉擇 告誡  實踐 嚴格  終生  ,五上單元一,釣魚的啟示
蹤影 白茫茫 雲霧 專注 也許 籠罩 隱隱約約 輪廓 遮蓋 臉龐 熟悉 若隱若現 儀態萬千 怦然心動 由衷 和煦  沐浴 心曠神怡   ,五上單元二,霧鎖香江
聞名於世 天下奇觀 據說 寬闊  屹立 昂首 人聲鼎沸 風平浪靜 逐漸 橫貫 浩浩蕩蕩 山崩地裂 顫動 依舊  風號浪吼  歎為觀止    ,五上單元二,觀潮
遊覽 記載 修築 映襯 疏疏落落 眉飛色舞 亭亭玉立 巍然聳立 徒有虛名  政府 彌補 行程 遺憾  環繞 清幽淡雅 百看不厭 景致 美不勝收 流連忘返  背誦 ,五上單元二,西湖風光
波瀾壯闊 無瑕 攀登 峯巒雄偉 拔地而起 奇峯羅列 屏障 栽倒 圍繞 倒映 連綿不斷 擴散 畫卷,五上單元二,桂林山水
骨碌碌 搜索 介紹  濃密 狹長  色澤  獵物  誘捕   賞心悅目 守株待兔 通常  強烈 濃郁 自投羅網 養分 ,五下單元一,會捕食的植物
寬敞 哺乳 祖先 屬於 環境 退化 適應 鋒利 潛入 傾斜 特徵 噴泉  特徵 甚至 垂直 兇猛  壽命,五下單元一,鯨
傳說 寸草不生 實際 體積 關係 密切 糧食 繁殖 生存 下降  流動 殺菌 預防 治療 疾病 鋼鐵,五下單元一,太陽
形成 推測 存在  分析 曾經 荒涼  突如其來 襲擊 遊盪 碰撞 家常便飯 豐富 持續 來源 誔生 潛藏 爆發 釋放  衝刷 痕跡 咆哮 孕育  缺陷 導致 足夠  渺茫 模樣,五下單元一,火星——地球的「孿生兄弟」
進攻 無價之寶 召集 商議 機智 理虧 完好無缺 絕口不提 怒髮衝冠  承諾 得罪 推辭 擅長 同歸於盡 怒目圓睜 毫不示弱 削弱 利益 同心協力 保衞,五下單元二,將相和
威迫 羞辱 屢立戰功 傲慢 忍無可忍 得罪  不屑 阻止 謙讓   揚長而去 侵犯 戰績顯赫 忠心耿𦖠 崇拜 計較  囉嗦  慚愧  吩咐 繁榮昌盛   ,五下單元二,廉頗和藺相如
才能 將軍 勝利 當然  為難  胸有成竹 疑惑 規則  淡定 遙遙領先 信服  調整 順序 反敗為勝,五下單元二,田忌賽馬
訪問  國勢強盛 侮辱 威風 到底 迎接  打發 規矩 招待 盜竊 沒出息 得意掦掦 面不改色 安居樂業 勞動  取笑 尊重 ,五下單元二,晏子使楚
